,X,Y,county,enrollment
0,-76.67838652578325,39.36940843866366,Baltimore City,8
2,-76.61988013616909,39.35135867127517,Baltimore City,"2,863"
3,-76.59529579087163,39.408389171882725,Baltimore,"2,254"
5,-76.62027638663419,39.32653077397438,Baltimore City,"20,871"
6,-76.61911683318061,39.3463236600669,Baltimore City,"5,978"
7,-76.62167613971327,39.3075351275286,Baltimore City,"2,273"
10,-76.75464590443745,39.38969267118268,Baltimore,549
11,-76.49133839026251,38.98151578691447,Anne Arundel,513
12,-76.63995322116145,39.36045293579986,Baltimore City,207
13,-76.60060560046371,39.29397378926865,Baltimore City,"1,236"
14,-76.88806228816473,39.16587309399795,Howard,511
15,-76.70165858785916,39.421962129989794,Baltimore,"4,212"
17,-77.00281395661894,39.58150810884021,Carroll,"3,284"
18,-76.8364312893249,39.17432351377779,Howard,634
20,-76.69848607694051,39.36179668260845,Baltimore City,146
22,-76.77928356115379,39.427676214242545,Baltimore,See Stevenson Campus for Enrollment Numbers
23,-76.74730514412518,39.36766649471394,Baltimore,
1,-76.66569949056655,39.260663511570186,Baltimore City,"1,111"
3,-76.57215257505521,39.401947675526884,Baltimore,See Baltimore Campus for Enrollment Numbers
1,-76.65878759675066,39.311788419628684,Baltimore City,"3,612"
4,-76.61638815469102,39.39485241101573,Baltimore,"21,960"
5,-76.61659122604749,39.305858756003815,Baltimore City,"6,558"
6,-76.62503131226516,39.29169582506381,Baltimore City,"6,368"
7,-76.71354947678226,39.253028668924316,Baltimore,"13,637"
11,-76.58151902735004,39.3392123694505,Baltimore City,"7,952"
13,-76.48629038657513,38.98170045258437,Anne Arundel,
1,-76.51304952532769,39.04942783017785,Anne Arundel,"17,650"
2,-76.662795237253,39.320025604193674,Baltimore City,"5,480"
3,-76.99095376582403,39.53189848616273,Carroll,"4,103"
4,-76.73316690212656,39.25264120267124,Baltimore,"25,188"
7,-76.08369592822258,38.952153025149215,Queen Anne's,"2,660"
11,-76.28225468323026,39.561283124800866,Harford,"7,226"
12,-76.88009055119687,39.21379510650015,Howard,"10,150"
18,-76.51272899565454,39.26609561953996,Baltimore,See Catonsville Campus for Enrollment Numbers
19,-76.48151459308014,39.353217626444895,Baltimore,See Catonsville Campus for Enrollment Numbers
